%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
22739000000,1419,22739000000,,433.555899763,433.563724648,433.555899763,433.563724648
22755000000,1420,22755000000,,430.641465451,430.649290337,430.641465451,430.649290337
22766000000,1421,22766000000,,435.110630684,435.118455569,435.110630684,435.118455569
22782000000,1422,22782000000,,431.748142549,431.755967434,431.748142549,431.755967434
22789000000,1423,22789000000,,432.90934312,432.917106628,432.90934312,432.917106628
22805000000,1424,22805000000,,431.216077312,431.223840821,431.216077312,431.223840821
22817000000,1425,22817000000,,431.982411027,431.990174536,431.982411027,431.990174536
22831000000,1426,22831000000,,434.17033119,434.178094698,434.17033119,434.178094698
22845000000,1427,22845000000,,433.262192155,433.269990594,433.262192155,433.269990594
22859000000,1428,22859000000,,431.434027155,431.441825594,431.434027155,431.441825594
22872000000,1429,22872000000,,431.497713501,431.50551194,431.497713501,431.50551194
22888000000,1430,22888000000,,435.061783431,435.06958187,435.061783431,435.06958187
22899000000,1431,22899000000,,428.228129193,428.236039702,428.228129193,428.236039702
22916000000,1432,22916000000,,433.060738222,433.068648732,433.060738222,433.068648732
22931000000,1433,22931000000,,431.367573053,431.375483563,431.367573053,431.375483563
22946000000,1434,22946000000,,431.251902149,431.259812658,431.251902149,431.259812658
22961000000,1435,22961000000,,433.852597711,433.860588391,433.852597711,433.860588391
22976000000,1436,22976000000,,433.445525039,433.453515719,433.445525039,433.453515719
22992000000,1437,22992000000,,431.338906233,431.346896913,431.338906233,431.346896913
23007000000,1438,23007000000,,430.12860266,430.13659334,430.12860266,430.13659334
23019000000,1439,23019000000,,431.438290176,431.446403254,431.438290176,431.446403254
23030000000,1440,23030000000,,431.793703932,431.80181701,431.793703932,431.80181701
23042000000,1441,23042000000,,430.261114005,430.269227083,430.261114005,430.269227083
23053000000,1442,23053000000,,433.014016354,433.022129432,433.014016354,433.022129432
23064000000,1443,23064000000,,432.439587445,432.447529761,432.439587445,432.447529761
23074000000,1444,23074000000,,430.683846342,430.691788659,430.683846342,430.691788659
23089000000,1445,23089000000,,432.080516514,432.08845883,432.080516514,432.08845883
23102000000,1446,23102000000,,431.53225283,431.540195146,431.53225283,431.540195146
23116000000,1447,23116000000,,433.565523768,433.573507084,433.565523768,433.573507084
23130000000,1448,23130000000,,432.182068419,432.190051734,432.182068419,432.190051734
23145000000,1449,23145000000,,429.588941016,429.596924331,429.588941016,429.596924331
23161000000,1450,23161000000,,434.631991623,434.639974938,434.631991623,434.639974938
23174000000,1451,23174000000,,429.047113659,429.055330626,429.047113659,429.055330626
23189000000,1452,23189000000,,433.048285817,433.056502784,433.048285817,433.056502784
23202000000,1453,23202000000,,430.974292944,430.98250991,430.974292944,430.98250991
23215000000,1454,23215000000,,429.926559293,429.934776259,429.926559293,429.934776259
23229000000,1455,23229000000,,431.032431839,431.040597982,431.032431839,431.040597982
23245000000,1456,23245000000,,431.287974402,431.296140545,431.287974402,431.296140545
23258000000,1457,23258000000,,433.721570245,433.729736388,433.721570245,433.729736388
23273000000,1458,23273000000,,432.614320788,432.622486931,432.614320788,432.622486931
23289000000,1459,23289000000,,432.618801693,432.627058889,432.618801693,432.627058889
23304000000,1460,23304000000,,433.35456299,433.362820186,433.35456299,433.362820186
23320000000,1461,23320000000,,432.700442469,432.708699665,432.700442469,432.708699665
23337000000,1462,23337000000,,432.847444836,432.855702032,432.847444836,432.855702032
23350000000,1463,23350000000,,433.023411123,433.031756222,433.023411123,433.031756222
23366000000,1464,23366000000,,431.057646034,431.065991133,431.057646034,431.065991133
23380000000,1465,23380000000,,432.871933232,432.880278331,432.871933232,432.880278331
23397000000,1466,23397000000,,433.192693372,433.201038471,433.192693372,433.201038471
23413000000,1467,23413000000,,434.058975199,434.067333387,434.058975199,434.067333387
23426000000,1468,23426000000,,431.419348199,431.427706386,431.419348199,431.427706386
23440000000,1469,23440000000,,431.459364814,431.467723002,431.459364814,431.467723002
