%time,field.x,field.y,field.z
22772000000,0.0,0.0,3.0
23632000000,0.0,0.0,3.0
24516000000,0.0,0.0,3.0
25364000000,0.0,0.0,3.0
26196000000,0.0,0.0,3.0
27059000000,0.0,0.0,3.0
27922000000,0.0,0.0,3.0
29042000000,0.0,0.0,3.0
29960000000,0.0,0.0,3.0
30436000000,0.0,0.0,3.0
31576000000,0.0,0.0,3.0
32399000000,0.0,0.0,3.0
33376000000,0.0,0.0,3.0
34140000000,0.0,0.0,3.0
34849000000,0.0,0.0,3.0
35786000000,0.0,0.0,3.0
36940000000,0.0,0.0,3.0
37882000000,0.0,0.0,3.0
38551000000,0.0,0.0,3.0
39126000000,0.0,0.0,3.0
40151000000,0.0,0.0,3.0
40856000000,0.0,0.0,3.0
41911000000,0.0,0.0,3.0
42503000000,0.0,0.0,3.0
43481000000,0.0,0.0,3.0
44123000000,0.0,0.0,3.0
44980000000,0.0,0.0,3.0
45836000000,0.0,0.0,3.0
47040000000,0.0,0.0,3.0
47844000000,0.0,0.0,3.0
48671000000,0.0,0.0,3.0
49508000000,0.0,0.0,3.0
50435000000,0.0,0.0,3.0
51369000000,0.0,0.0,3.0
52135000000,0.0,0.0,3.0
52892000000,0.0,0.0,3.0
53695000000,0.0,0.0,3.0
54545000000,0.0,0.0,3.0
55517000000,0.0,0.0,3.0
56488000000,0.0,0.0,3.0
57136000000,0.0,0.0,3.0
58092000000,0.0,0.0,3.0
59206000000,0.0,0.0,3.0
60112000000,0.0,0.0,3.0
61053000000,0.0,0.0,3.0
61788000000,0.0,0.0,3.0
62570000000,0.0,0.0,3.0
63622000000,0.0,0.0,3.0
64492000000,0.0,0.0,3.0
65328000000,0.0,0.0,3.0
66139000000,0.0,0.0,3.0
66878000000,0.0,0.0,3.0
67633000000,0.0,0.0,3.0
68567000000,0.0,0.0,3.0
69539000000,0.0,0.0,3.0
70353000000,0.0,0.0,3.0
71068000000,0.0,0.0,3.0
71984000000,0.0,0.0,3.0
72986000000,0.0,0.0,3.0
73880000000,0.0,0.0,3.0
74544000000,0.0,0.0,3.0
75494000000,0.0,0.0,3.0
76299000000,0.0,0.0,3.0
77069000000,0.0,0.0,3.0
78128000000,0.0,0.0,3.0
78878000000,0.0,0.0,3.0
79734000000,0.0,0.0,3.0
80675000000,0.0,0.0,3.0
81307000000,0.0,0.0,3.0
82148000000,0.0,0.0,3.0
82953000000,0.0,0.0,3.0
83767000000,0.0,0.0,3.0
84647000000,0.0,0.0,3.0
85464000000,0.0,0.0,3.0
86437000000,0.0,0.0,3.0
87044000000,0.0,0.0,3.0
88010000000,0.0,0.0,3.0
89028000000,0.0,0.0,3.0
89799000000,0.0,0.0,3.0
90723000000,0.0,0.0,3.0
91669000000,0.0,0.0,3.0
92322000000,0.0,0.0,3.0
93225000000,0.0,0.0,3.0
94115000000,0.0,0.0,3.0
95250000000,0.0,0.0,3.0
96028000000,0.0,0.0,3.0
96888000000,0.0,0.0,3.0
97505000000,0.0,0.0,3.0
98751000000,0.0,0.0,3.0
99196000000,0.0,0.0,3.0
100060000000,0.0,0.0,3.0
100754000000,0.0,0.0,3.0
101603000000,0.0,0.0,3.0
