%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
16205000000,367,16205000000,,431.289814387,431.286834359,431.289814387,431.286834359
16237000000,368,16237000000,,429.904903608,429.90192358,429.904903608,429.90192358
16279000000,369,16279000000,,430.622325143,430.619345114,430.622325143,430.619345114
16299000000,370,16299000000,,431.625969576,431.622989548,431.625969576,431.622989548
16318000000,371,16318000000,,432.445296726,432.443413844,432.445296726,432.443413844
16350000000,372,16350000000,,432.981999942,432.98011706,432.981999942,432.98011706
16369000000,373,16369000000,,432.422392046,432.420509164,432.422392046,432.420509164
16402000000,374,16402000000,,433.264821042,433.26293816,433.264821042,433.26293816
16438000000,375,16438000000,,430.650884376,430.648742183,430.650884376,430.648742183
16471000000,376,16471000000,,430.953843924,430.951701731,430.953843924,430.951701731
16505000000,377,16505000000,,431.060836776,431.058694583,431.060836776,431.058694583
16538000000,378,16538000000,,434.044542739,434.042400547,434.044542739,434.042400547
16571000000,379,16571000000,,430.153240008,430.152271992,430.153240008,430.152271992
16601000000,380,16601000000,,432.396009401,432.395041385,432.396009401,432.395041385
16640000000,381,16640000000,,432.005669237,432.004701221,432.005669237,432.004701221
16671000000,382,16671000000,,431.285482431,431.284514415,431.285482431,431.284514415
16701000000,383,16701000000,,432.617145473,432.616631919,432.617145473,432.616631919
16728000000,384,16728000000,,432.324997303,432.32448375,432.324997303,432.32448375
16759000000,385,16759000000,,433.750083483,433.74956993,433.750083483,433.74956993
16800000000,386,16800000000,,431.451417718,431.450904165,431.451417718,431.450904165
16840000000,387,16840000000,,435.323090003,435.399966259,435.323090003,435.399966259
16882000000,388,16882000000,,431.878536235,431.955412492,431.878536235,431.955412492
16923000000,389,16923000000,,432.641560518,432.718436774,432.641560518,432.718436774
16962000000,390,16962000000,,431.423812093,431.50068835,431.423812093,431.50068835
16998000000,391,16998000000,,436.3505729,436.287535997,436.3505729,436.287535997
17035000000,392,17035000000,,432.601271035,432.538234133,432.601271035,432.538234133
17072000000,393,17072000000,,434.186562762,434.12352586,434.186562762,434.12352586
17104000000,394,17104000000,,431.745389863,431.68235296,431.745389863,431.68235296
17138000000,395,17138000000,,434.956380326,435.028025844,434.956380326,435.028025844
17176000000,396,17176000000,,432.855420647,432.927066165,432.855420647,432.927066165
17212000000,397,17212000000,,433.322185304,433.393830822,433.322185304,433.393830822
17250000000,398,17250000000,,433.15570686,433.227352379,433.15570686,433.227352379
17286000000,399,17286000000,,430.763428505,430.706394031,430.763428505,430.706394031
17316000000,400,17316000000,,431.251283015,431.194248541,431.251283015,431.194248541
17351000000,401,17351000000,,435.312134493,435.255100019,435.312134493,435.255100019
17393000000,402,17393000000,,432.183498197,432.126463722,432.183498197,432.126463722
17434000000,403,17434000000,,432.502546641,432.504579156,432.502546641,432.504579156
17473000000,404,17473000000,,432.46685948,432.468891996,432.46685948,432.468891996
17509000000,405,17509000000,,432.197843706,432.199876222,432.197843706,432.199876222
17549000000,406,17549000000,,430.059632982,430.061665498,430.059632982,430.061665498
17588000000,407,17588000000,,430.807486323,430.876008042,430.807486323,430.876008042
17630000000,408,17630000000,,432.559033648,432.627555367,432.559033648,432.627555367
17670000000,409,17670000000,,427.502555842,427.571077561,427.502555842,427.571077561
17711000000,410,17711000000,,432.58263696,432.651158679,432.58263696,432.651158679
17748000000,411,17748000000,,430.195793957,430.144351342,430.195793957,430.144351342
17787000000,412,17787000000,,431.910620634,431.859178019,431.910620634,431.859178019
17824000000,413,17824000000,,427.774514433,427.723071817,427.774514433,427.723071817
17858000000,414,17858000000,,429.178094553,429.126651938,429.178094553,429.126651938
17896000000,415,17896000000,,433.42327219,433.486863421,433.42327219,433.486863421
17929000000,416,17929000000,,429.138292532,429.201883763,429.138292532,429.201883763
17963000000,417,17963000000,,430.10134638,430.164937611,430.10134638,430.164937611
18002000000,418,18002000000,,429.625091276,429.688682506,429.625091276,429.688682506
18043000000,419,18043000000,,428.410146739,428.363820446,428.410146739,428.363820446
18085000000,420,18085000000,,431.715014474,431.668688181,431.715014474,431.668688181
18123000000,421,18123000000,,431.748561147,431.702234854,431.748561147,431.702234854
18158000000,422,18158000000,,432.866705832,432.820379539,432.866705832,432.820379539
18195000000,423,18195000000,,431.25863,431.318887028,431.25863,431.318887028
18233000000,424,18233000000,,432.083779237,432.144036265,432.083779237,432.144036265
18266000000,425,18266000000,,433.995206701,434.055463729,433.995206701,434.055463729
18305000000,426,18305000000,,433.20097804,433.261235068,433.20097804,433.261235068
18348000000,427,18348000000,,432.759647277,432.717713796,432.759647277,432.717713796
18384000000,428,18384000000,,432.004925578,431.962992098,432.004925578,431.962992098
18421000000,429,18421000000,,432.121318003,432.079384522,432.121318003,432.079384522
18452000000,430,18452000000,,433.103239839,433.061306358,433.103239839,433.061306358
18486000000,431,18486000000,,433.077290429,433.134065313,433.077290429,433.134065313
18523000000,432,18523000000,,435.855738471,435.912513356,435.855738471,435.912513356
18561000000,433,18561000000,,432.708589145,432.765364029,432.708589145,432.765364029
18601000000,434,18601000000,,433.278841685,433.33561657,433.278841685,433.33561657
18639000000,435,18639000000,,434.139998166,434.102131706,434.139998166,434.102131706
18675000000,436,18675000000,,430.255350572,430.217484112,430.255350572,430.217484112
18710000000,437,18710000000,,432.491364473,432.453498012,432.491364473,432.453498012
18745000000,438,18745000000,,432.589418312,432.551551852,432.589418312,432.551551852
18780000000,439,18780000000,,429.667364676,429.672870439,429.667364676,429.672870439
18818000000,440,18818000000,,433.227213079,433.232718842,433.227213079,433.232718842
18857000000,441,18857000000,,430.83786909,430.843374853,430.83786909,430.843374853
18895000000,442,18895000000,,432.14956788,432.155073643,432.14956788,432.155073643
18931000000,443,18931000000,,432.384577336,432.3905427,432.384577336,432.3905427
18968000000,444,18968000000,,433.086570711,433.092536075,433.086570711,433.092536075
19008000000,445,19008000000,,431.554609185,431.560574549,431.554609185,431.560574549
19045000000,446,19045000000,,433.349358836,433.3553242,433.349358836,433.3553242
19081000000,447,19081000000,,434.683672763,434.689973442,434.683672763,434.689973442
19135000000,448,19135000000,,431.265838005,431.272138959,431.182793512,431.189093916
19167000000,449,19167000000,,433.555707309,433.562008132,433.520473763,433.526774298
19226000000,450,19226000000,,433.488972902,433.495273033,433.491338109,433.497639334
19267000000,451,19267000000,,433.855187326,433.906706471,433.866503941,433.918026304
19284000000,452,19284000000,,431.629794454,431.681312733,431.638806765,431.690329995
19307000000,453,19307000000,,433.837051402,433.888569592,433.842440425,433.893963744
19338000000,454,19338000000,,430.965813822,431.017332117,430.968220678,431.019743892
19368000000,455,19368000000,,433.697978005,433.726933566,433.698175673,433.727136689
19390000000,456,19390000000,,434.25221436,434.281169595,434.251245302,434.280206644
19409000000,457,19409000000,,432.333653863,432.362611591,432.332765243,432.361724093
19446000000,458,19446000000,,431.536457687,431.565420463,431.53633617,431.56528997
19481000000,459,19481000000,,431.65250267,431.647532782,431.65278235,431.647804515
19532000000,460,19532000000,,429.406514934,429.401537066,429.406581574,429.401611719
19586000000,461,19586000000,,432.837569949,432.832592297,432.837475066,432.832504997
19652000000,462,19652000000,,430.59495818,430.589987383,430.594974635,430.58999771
19709000000,463,19709000000,,427.783054888,427.799252815,427.783080025,427.799273164
19755000000,464,19755000000,,435.556885881,435.573079085,435.556848623,435.573046485
19788000000,465,19788000000,,431.535764826,431.551957907,431.535779765,431.551977749
19834000000,466,19834000000,,429.790083885,429.806283075,429.790107827,429.806299702
19870000000,467,19870000000,,434.004908743,434.017482863,434.004876277,434.017446769
19907000000,468,19907000000,,430.180012052,430.192578995,430.180019859,430.192597527
19971000000,469,19971000000,,433.26363026,433.276205296,433.263639391,433.276208967
20001000000,470,20001000000,,432.792101789,432.804674423,432.792095124,432.804667101
20039000000,471,20039000000,,431.490742922,431.510273702,431.490744391,431.510276838
20084000000,472,20084000000,,431.938548599,431.958078627,431.93854998,431.95808318
20120000000,473,20120000000,,430.352345586,430.371884722,430.352350679,430.371874771
20166000000,474,20166000000,,434.292350339,434.311883067,434.292338645,434.311869144
20202000000,475,20202000000,,431.348449221,431.362651342,431.348442108,431.36268928
20278000000,476,20278000000,,431.587549027,431.601785014,431.587565379,431.601778684
20318000000,477,20318000000,,431.92298283,431.937228605,431.923007117,431.937210634
20358000000,478,20358000000,,433.642076007,433.656285616,433.64202873,433.656268413
20401000000,479,20401000000,,435.050806224,435.075030281,435.050792993,435.075046979
20435000000,480,20435000000,,430.14706467,430.171298744,430.147096038,430.171340007
20470000000,481,20470000000,,431.895225011,431.919503707,431.895273515,431.919472863
20527000000,482,20527000000,,432.263990108,432.288239707,432.263965174,432.288193619
20588000000,483,20588000000,,434.1370785,434.157037579,434.137005426,434.157042184
20653000000,484,20653000000,,433.43489711,433.454857237,433.43487984,433.45491555
20691000000,485,20691000000,,432.333605842,432.353624066,432.333693108,432.353670721
20737000000,486,20737000000,,432.079880241,432.09994056,432.079954194,432.099889712
20786000000,487,20786000000,,436.287416438,436.367693444,436.287363126,436.3676054
20832000000,488,20832000000,,429.137337275,429.217535137,429.137216091,429.21753751
20872000000,489,20872000000,,432.301711898,432.38191547,432.301700091,432.382015799
20910000000,490,20910000000,,432.468736466,432.549032104,432.468866212,432.549089855
20983000000,491,20983000000,,432.559751789,432.585398231,432.559835431,432.585322353
21034000000,492,21034000000,,431.869485499,431.895062344,431.869383021,431.894939539
21062000000,493,21062000000,,433.261405073,433.286897607,433.261267019,433.286907848
21080000000,494,21080000000,,433.682546957,433.708078851,433.682594607,433.708196077
21109000000,495,21109000000,,431.48610703,431.609750698,431.486224512,431.609773655
21128000000,496,21128000000,,433.253889526,433.377518519,433.253866079,433.377429896
21154000000,497,21154000000,,434.139969062,434.263535524,434.139885629,434.263511978
21203000000,498,21203000000,,432.425388132,432.548957054,432.425414722,432.549038612
21266000000,499,21266000000,,432.839181897,432.826326712,432.839286338,432.826379285
21321000000,500,21321000000,,432.185281577,432.172436193,432.185299445,432.172382591
21372000000,501,21372000000,,431.451731469,431.438835104,431.451629835,431.438763962
21412000000,502,21412000000,,428.195158924,428.182232046,428.195103597,428.182268238
21433000000,503,21433000000,,430.405650451,430.716992872,430.405711044,430.717067958
21463000000,504,21463000000,,431.346419337,431.657799378,431.346458664,431.657777957
21496000000,505,21496000000,,432.875737019,433.187096294,432.875693997,433.187034058
21515000000,506,21515000000,,431.580273118,431.891596392,431.580237214,431.891613276
21551000000,507,21551000000,,432.916331956,432.588307176,432.91637068,432.588357482
21570000000,508,21570000000,,429.163620048,428.835623721,429.16365229,428.835610639
21604000000,509,21604000000,,432.083894186,431.755877954,432.083860785,431.755839039
21635000000,510,21635000000,,430.379832182,430.051796577,430.379807522,430.051805148
21670000000,511,21670000000,,427.679041176,427.697030034,427.679068124,427.697058382
21691000000,512,21691000000,,429.596233425,429.614236028,429.59625074,429.614227254
21727000000,513,21727000000,,432.283412995,432.301400655,432.283389032,432.301380489
21756000000,514,21756000000,,429.149259806,429.167239008,429.149250791,429.167250705
21787000000,515,21787000000,,432.09946301,432.144677336,432.099482707,432.144688011
21823000000,516,21823000000,,431.535344396,431.580559028,431.535340623,431.580545621
21863000000,517,21863000000,,432.404598504,432.449792332,432.404564383,432.449790184
21902000000,518,21902000000,,431.661863201,431.707022708,431.661748324,431.707008447
21935000000,519,21935000000,,430.773308354,430.797745095,430.770915853,430.797164439
21969000000,520,21969000000,,432.241173802,432.272340853,432.246263861,432.265782137
22034000000,521,22034000000,,431.936767641,431.965257475,431.940144178,431.962339671
22069000000,522,22069000000,,429.72238239,429.747937404,429.723803982,429.748934295
22112000000,523,22112000000,,431.908315734,431.964408312,431.908612209,431.966117981
22150000000,524,22150000000,,433.125309702,433.181758229,433.125336833,433.182486656
22193000000,525,22193000000,,429.225900824,429.282726303,429.225856574,429.282629446
22215000000,526,22215000000,,436.023219849,436.080151876,436.023235516,436.079901839
