%time,field.header.seq,field.header.stamp,field.header.frame_id,field.angular_velocities0,field.angular_velocities1,field.angular_velocities2,field.angular_velocities3
14246000000,315,14246000000,,430.775014004,430.868985581,430.775014004,430.868985581
14274000000,316,14274000000,,431.317339373,431.41131095,431.317339373,431.41131095
14302000000,317,14302000000,,433.894012134,433.987983712,433.894012134,433.987983712
14338000000,318,14338000000,,434.727938579,434.821910156,434.727938579,434.821910156
14375000000,319,14375000000,,431.933564517,431.828637871,431.933564517,431.828637871
14411000000,320,14411000000,,434.758820624,434.653893979,434.758820624,434.653893979
14447000000,321,14447000000,,435.283847564,435.178920918,435.283847564,435.178920918
14476000000,322,14476000000,,434.722654315,434.617727669,434.722654315,434.617727669
14510000000,323,14510000000,,434.392898594,434.485721201,434.392898594,434.485721201
14547000000,324,14547000000,,431.804632414,431.89745502,431.804632414,431.89745502
14585000000,325,14585000000,,431.515283719,431.608106325,431.515283719,431.608106325
14624000000,326,14624000000,,433.437643623,433.530466229,433.437643623,433.530466229
14664000000,327,14664000000,,430.989696913,430.888746831,430.989696913,430.888746831
14703000000,328,14703000000,,432.400535399,432.299585317,432.400535399,432.299585317
14740000000,329,14740000000,,433.42074778,433.319797698,433.42074778,433.319797698
14782000000,330,14782000000,,431.117836717,431.016886635,431.117836717,431.016886635
14819000000,331,14819000000,,431.466661264,431.455199179,431.466661264,431.455199179
14858000000,332,14858000000,,432.374427748,432.362965663,432.374427748,432.362965663
14892000000,333,14892000000,,433.242732675,433.231270591,433.242732675,433.231270591
14927000000,334,14927000000,,431.52682882,431.515366735,431.52682882,431.515366735
14968000000,335,14968000000,,430.478996837,430.468021254,430.478996837,430.468021254
15007000000,336,15007000000,,431.182713602,431.17173802,431.182713602,431.17173802
15047000000,337,15047000000,,431.362959172,431.351983589,431.362959172,431.351983589
15085000000,338,15085000000,,430.281902082,430.270926499,430.281902082,430.270926499
15122000000,339,15122000000,,429.990755983,429.980984846,429.990755983,429.980984846
15151000000,340,15151000000,,430.801709569,430.791938431,430.801709569,430.791938431
15186000000,341,15186000000,,433.412746687,433.40297555,433.412746687,433.40297555
15225000000,342,15225000000,,431.107213177,431.09744204,431.107213177,431.09744204
15262000000,343,15262000000,,429.745606499,429.736197959,429.745606499,429.736197959
15302000000,344,15302000000,,430.029703151,430.02029461,430.029703151,430.02029461
15338000000,345,15338000000,,430.225625694,430.216217154,430.225625694,430.216217154
15376000000,346,15376000000,,432.717690541,432.708282,432.717690541,432.708282
15412000000,347,15412000000,,431.070634345,431.062333807,431.070634345,431.062333807
15448000000,348,15448000000,,432.575250953,432.566950416,432.575250953,432.566950416
15485000000,349,15485000000,,433.053109979,433.044809441,433.053109979,433.044809441
15522000000,350,15522000000,,429.896744265,429.888443727,429.896744265,429.888443727
15558000000,351,15558000000,,432.306165351,432.408912572,432.306165351,432.408912572
15597000000,352,15597000000,,432.550753166,432.653500387,432.550753166,432.653500387
15635000000,353,15635000000,,432.467726813,432.570474034,432.467726813,432.570474034
15673000000,354,15673000000,,433.534817743,433.637564964,433.534817743,433.637564964
15708000000,355,15708000000,,431.072807817,430.974217068,431.072807817,430.974217068
15735000000,356,15735000000,,433.85745493,433.75886418,433.85745493,433.75886418
15768000000,357,15768000000,,430.66877166,430.57018091,430.66877166,430.57018091
15798000000,358,15798000000,,433.31264089,433.21405014,433.31264089,433.21405014
15837000000,359,15837000000,,433.167912884,433.26530543,433.167912884,433.26530543
15876000000,360,15876000000,,431.364724787,431.462117333,431.364724787,431.462117333
15912000000,361,15912000000,,430.729993422,430.827385968,430.729993422,430.827385968
15953000000,362,15953000000,,431.11283716,431.210229706,431.11283716,431.210229706
15992000000,363,15992000000,,433.393085819,433.30094845,433.393085819,433.30094845
16033000000,364,16033000000,,430.214435969,430.1222986,430.214435969,430.1222986
16075000000,365,16075000000,,431.468990685,431.376853316,431.468990685,431.376853316
16114000000,366,16114000000,,431.792956948,431.700819578,431.792956948,431.700819578
16153000000,367,16153000000,,433.615172548,433.709415544,433.615172548,433.709415544
16193000000,368,16193000000,,430.345184123,430.439427119,430.345184123,430.439427119
16233000000,369,16233000000,,433.747615097,433.841858094,433.747615097,433.841858094
16273000000,370,16273000000,,429.97099004,430.065233036,429.97099004,430.065233036
16311000000,371,16311000000,,433.178852658,433.092857981,433.178852658,433.092857981
16351000000,372,16351000000,,432.374463835,432.288469158,432.374463835,432.288469158
16391000000,373,16391000000,,433.564530328,433.478535651,433.564530328,433.478535651
16428000000,374,16428000000,,431.934535849,431.848541172,431.934535849,431.848541172
16469000000,375,16469000000,,433.855544816,433.852346536,433.855544816,433.852346536
16508000000,376,16508000000,,433.687777654,433.684579374,433.687777654,433.684579374
16550000000,377,16550000000,,433.947458246,433.944259966,433.947458246,433.944259966
16591000000,378,16591000000,,431.482589158,431.479390878,431.482589158,431.479390878
